checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0.0,15.0,,0.0,1403.0,0.0,2.0,2.0,,,4.0,,,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1
3.0,,2.0,4.0,1262.0,0.0,,3.0,2.0,0.0,,2.0,,,1.0,1.0,2.0,1.0,0.0,0.0,1
,18.0,2.0,3.0,3049.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,,0.0,1
,,1.0,,,,2.0,4.0,2.0,,2.0,2.0,34.0,1.0,,1.0,,2.0,,,1
0.0,36.0,4.0,,,,2.0,3.0,1.0,0.0,2.0,3.0,25.0,2.0,1.0,2.0,,,,0.0,0
,15.0,4.0,3.0,,0.0,,2.0,1.0,1.0,3.0,2.0,24.0,0.0,1.0,2.0,,1.0,0.0,,1
0.0,8.0,4.0,0.0,731.0,0.0,4.0,,2.0,0.0,4.0,0.0,47.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1
,24.0,2.0,0.0,1525.0,3.0,3.0,,1.0,,3.0,2.0,,,1.0,1.0,,2.0,,,1
1.0,,2.0,1.0,2028.0,4.0,2.0,4.0,2.0,,2.0,,,2.0,,1.0,2.0,,0.0,0.0,1
2.0,42.0,0.0,,,,1.0,2.0,0.0,0.0,1.0,,,2.0,1.0,2.0,2.0,1.0,,0.0,1
2.0,12.0,2.0,4.0,3399.0,4.0,,2.0,2.0,0.0,3.0,2.0,37.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1
2.0,12.0,,3.0,1474.0,0.0,1.0,,,,1.0,1.0,33.0,0.0,1.0,,3.0,1.0,1.0,0.0,1
0.0,12.0,2.0,0.0,,0.0,1.0,4.0,2.0,0.0,,0.0,,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0
1.0,48.0,2.0,0.0,,1.0,,3.0,2.0,0.0,2.0,1.0,24.0,,1.0,,,1.0,0.0,0.0,0
1.0,21.0,2.0,9.0,,1.0,,4.0,0.0,0.0,,,61.0,0.0,0.0,,1.0,1.0,,,0
0.0,12.0,2.0,0.0,1372.0,,3.0,2.0,0.0,0.0,3.0,2.0,36.0,,1.0,1.0,2.0,1.0,0.0,0.0,0
3.0,9.0,2.0,,,,1.0,2.0,1.0,0.0,4.0,1.0,22.0,2.0,,1.0,2.0,,,,1
0.0,18.0,,7.0,750.0,0.0,0.0,,1.0,0.0,,0.0,27.0,2.0,1.0,,0.0,,0.0,0.0,0
3.0,48.0,,9.0,,4.0,,4.0,0.0,0.0,2.0,,38.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0
3.0,15.0,,5.0,874.0,4.0,,4.0,1.0,0.0,1.0,,24.0,,1.0,1.0,2.0,1.0,,,1
,18.0,2.0,,1453.0,0.0,1.0,3.0,1.0,,1.0,,26.0,2.0,1.0,1.0,2.0,,0.0,,1
3.0,15.0,2.0,,1213.0,,,4.0,2.0,0.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1
2.0,15.0,2.0,,392.0,0.0,1.0,4.0,,,4.0,,,2.0,0.0,1.0,2.0,,1.0,0.0,1
3.0,,,4.0,,0.0,2.0,4.0,1.0,0.0,2.0,,,2.0,1.0,1.0,2.0,,1.0,0.0,1
2.0,12.0,,,,4.0,4.0,3.0,1.0,0.0,4.0,0.0,55.0,2.0,1.0,1.0,,1.0,1.0,,1
,36.0,4.0,1.0,5800.0,,2.0,3.0,2.0,0.0,4.0,,34.0,2.0,1.0,2.0,2.0,1.0,1.0,,1
0.0,12.0,4.0,0.0,4843.0,,,3.0,,1.0,4.0,1.0,43.0,2.0,0.0,2.0,,1.0,1.0,0.0,0
3.0,24.0,,9.0,4139.0,1.0,2.0,,,,3.0,1.0,27.0,,1.0,2.0,1.0,1.0,1.0,,1
3.0,,4.0,2.0,6314.0,0.0,0.0,4.0,2.0,,,3.0,27.0,,,2.0,3.0,1.0,1.0,0.0,1
3.0,48.0,4.0,0.0,10127.0,2.0,,2.0,2.0,0.0,,,,,,,2.0,1.0,,,0
1.0,48.0,2.0,9.0,15672.0,0.0,2.0,2.0,2.0,0.0,,2.0,23.0,2.0,1.0,1.0,2.0,1.0,,0.0,0
0.0,,4.0,2.0,1164.0,0.0,4.0,3.0,2.0,0.0,4.0,3.0,,0.0,2.0,,3.0,,1.0,0.0,1
,9.0,2.0,3.0,1388.0,0.0,2.0,4.0,1.0,0.0,2.0,,26.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1
0.0,36.0,4.0,3.0,2348.0,0.0,2.0,,3.0,0.0,2.0,,,2.0,,,,,1.0,0.0,1
3.0,,,1.0,,2.0,2.0,,2.0,,4.0,,24.0,,,,2.0,,,0.0,1
1.0,,2.0,4.0,2329.0,0.0,1.0,,,,1.0,,,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1
,,4.0,,,,4.0,1.0,1.0,0.0,4.0,3.0,39.0,,,2.0,,1.0,1.0,0.0,1
,18.0,4.0,0.0,2775.0,0.0,3.0,,2.0,,2.0,,31.0,0.0,1.0,2.0,2.0,1.0,,0.0,0
3.0,,2.0,,,,,2.0,0.0,,,,48.0,2.0,2.0,1.0,,1.0,1.0,,1
,36.0,2.0,,1819.0,0.0,2.0,4.0,,0.0,4.0,3.0,37.0,1.0,,1.0,2.0,1.0,1.0,0.0,0
0.0,24.0,0.0,3.0,4110.0,0.0,4.0,3.0,2.0,0.0,4.0,3.0,23.0,0.0,,2.0,2.0,2.0,0.0,0.0,0
1.0,24.0,,3.0,,0.0,,3.0,,,,,,2.0,1.0,1.0,3.0,,,,0
1.0,,3.0,,,,,2.0,2.0,0.0,4.0,,44.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1
3.0,12.0,4.0,3.0,1935.0,0.0,,,2.0,0.0,4.0,,,,1.0,3.0,,1.0,1.0,0.0,1
3.0,36.0,4.0,,7127.0,0.0,1.0,2.0,1.0,,,1.0,23.0,2.0,,,2.0,1.0,1.0,0.0,0
1.0,30.0,3.0,4.0,,1.0,1.0,4.0,2.0,0.0,3.0,,30.0,,1.0,,3.0,,0.0,0.0,0
0.0,24.0,2.0,,915.0,,4.0,4.0,1.0,0.0,2.0,,29.0,,,1.0,2.0,1.0,0.0,0.0,0
,18.0,4.0,,,4.0,,,2.0,0.0,,,29.0,2.0,,2.0,2.0,1.0,1.0,0.0,1
,12.0,2.0,3.0,,0.0,1.0,,1.0,0.0,1.0,2.0,22.0,,0.0,,2.0,,0.0,0.0,1
,12.0,2.0,1.0,1413.0,3.0,3.0,,,0.0,2.0,,55.0,,1.0,1.0,2.0,1.0,0.0,,1
,20.0,2.0,,6468.0,,0.0,1.0,,0.0,4.0,0.0,60.0,2.0,1.0,1.0,,,,0.0,1
3.0,,,7.0,3565.0,4.0,1.0,2.0,2.0,0.0,,1.0,37.0,,1.0,2.0,,2.0,0.0,0.0,1
0.0,12.0,4.0,3.0,2246.0,,,3.0,2.0,,3.0,,60.0,2.0,,,,,0.0,0.0,0
3.0,21.0,4.0,0.0,,4.0,4.0,4.0,,,4.0,3.0,,,,1.0,,,1.0,,0
2.0,6.0,2.0,3.0,,0.0,2.0,2.0,2.0,0.0,,,41.0,2.0,,1.0,2.0,1.0,1.0,0.0,1
0.0,30.0,2.0,1.0,3857.0,0.0,2.0,,0.0,0.0,4.0,1.0,,2.0,1.0,1.0,3.0,,1.0,,1
,9.0,2.0,,,2.0,2.0,4.0,1.0,0.0,3.0,,66.0,,,1.0,1.0,1.0,,,1
,18.0,2.0,3.0,2473.0,0.0,0.0,,2.0,,1.0,2.0,25.0,2.0,1.0,,,,0.0,,0
3.0,36.0,4.0,,6614.0,0.0,,,,0.0,4.0,,34.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1
,,4.0,3.0,2146.0,0.0,1.0,,1.0,,3.0,,23.0,2.0,0.0,2.0,2.0,,,,1
1.0,,2.0,,,1.0,,3.0,2.0,0.0,,0.0,39.0,2.0,,1.0,,1.0,0.0,0.0,1
2.0,15.0,4.0,4.0,1271.0,4.0,2.0,3.0,2.0,0.0,,3.0,,,2.0,,2.0,1.0,1.0,0.0,0
0.0,12.0,,0.0,3499.0,,2.0,,,1.0,,0.0,,,1.0,2.0,2.0,1.0,0.0,,0
,,,7.0,4623.0,1.0,2.0,,2.0,0.0,2.0,1.0,,2.0,1.0,1.0,3.0,,1.0,,0
0.0,12.0,2.0,,7865.0,,4.0,4.0,2.0,0.0,4.0,3.0,53.0,,,,3.0,1.0,1.0,,0
,,,4.0,,4.0,4.0,4.0,2.0,0.0,4.0,2.0,35.0,,1.0,,2.0,1.0,0.0,0.0,1
0.0,12.0,,7.0,1200.0,4.0,2.0,4.0,,,,1.0,23.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1
0.0,48.0,,,10297.0,0.0,,,,0.0,,3.0,39.0,1.0,2.0,,2.0,2.0,,,0
1.0,,,,2353.0,0.0,,1.0,0.0,,,1.0,47.0,2.0,1.0,,,1.0,0.0,0.0,1
,15.0,2.0,,,0.0,,3.0,1.0,,2.0,1.0,29.0,2.0,1.0,,,1.0,1.0,0.0,0
,24.0,,1.0,3868.0,0.0,,,1.0,,,,41.0,2.0,,2.0,,1.0,1.0,0.0,1
0.0,48.0,,1.0,4605.0,,4.0,3.0,2.0,0.0,,3.0,,2.0,2.0,2.0,,2.0,,,0
3.0,,2.0,,,0.0,2.0,4.0,1.0,0.0,,,26.0,,1.0,1.0,2.0,,,,1
,24.0,,4.0,1024.0,0.0,,,3.0,0.0,4.0,0.0,48.0,1.0,1.0,,2.0,1.0,0.0,,0
,24.0,,0.0,3878.0,1.0,1.0,4.0,0.0,,,,,,1.0,,2.0,1.0,,0.0,1
3.0,30.0,,4.0,,0.0,,4.0,,0.0,,2.0,,2.0,1.0,,2.0,1.0,0.0,0.0,1
,,,3.0,3021.0,0.0,2.0,,0.0,0.0,2.0,0.0,24.0,2.0,,1.0,1.0,,0.0,0.0,1
,,4.0,3.0,8386.0,0.0,3.0,2.0,2.0,0.0,2.0,,49.0,2.0,,,2.0,1.0,,0.0,0
1.0,15.0,1.0,0.0,1264.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,25.0,2.0,0.0,,2.0,,,0.0,0
3.0,24.0,4.0,,2872.0,1.0,4.0,3.0,2.0,0.0,4.0,,36.0,,,1.0,2.0,,1.0,0.0,1
1.0,24.0,4.0,,11938.0,0.0,2.0,,,1.0,3.0,2.0,39.0,,1.0,2.0,3.0,2.0,,0.0,0
1.0,24.0,2.0,1.0,12579.0,,4.0,4.0,1.0,,,,44.0,2.0,,1.0,3.0,1.0,1.0,,0
2.0,12.0,4.0,,1480.0,,0.0,2.0,2.0,,,3.0,,0.0,,,,1.0,,0.0,1
3.0,30.0,,,3077.0,,4.0,,2.0,0.0,,,40.0,,1.0,2.0,2.0,,,0.0,1
2.0,18.0,,,,,,4.0,2.0,1.0,2.0,0.0,,,1.0,1.0,2.0,,,0.0,0
3.0,,2.0,5.0,1338.0,2.0,,,,0.0,4.0,0.0,,2.0,1.0,1.0,,1.0,,0.0,1
2.0,,4.0,0.0,1323.0,1.0,4.0,,,0.0,4.0,2.0,,,1.0,2.0,2.0,2.0,1.0,0.0,1
,,,,3622.0,3.0,,4.0,,0.0,4.0,,57.0,,0.0,2.0,2.0,1.0,1.0,0.0,1
,,2.0,0.0,7408.0,,1.0,4.0,,0.0,,,24.0,2.0,,,,1.0,0.0,0.0,0
3.0,6.0,,4.0,1346.0,1.0,,2.0,2.0,,,3.0,,0.0,,1.0,2.0,2.0,1.0,0.0,1
